X,Y,Z
37.7383,-7.4449,177.448
44.5578,-7.16113,170.685
43.8783,-8.93585,214.682
36.8946,-6.02805,144.822
32.4309,-6.79431,164.542
36.6528,-7.61479,184.413
41.7485,-8.06812,195.391
42.1334,-6.75014,163.473
39.9554,-6.43251,157.041
48.1559,-9.2141,226.786
39.9866,-6.36057,156.553
36.1425,-6.76038,169.154
34.3063,-5.59947,141.278
39.7496,-6.76724,173.648
38.3592,-6.9802,180.649
37.9063,-5.89501,152.564
43.9494,-8.54204,222.983
38.2047,-6.91401,180.485
42.1844,-6.4524,168.435
44.0403,-8.51423,224.198
37.2042,-5.68653,149.739
42.9137,-6.20344,163.35
39.501,-5.54567,151.314
41.6812,-7.58484,210.766
42.4288,-5.86382,162.943
37.5124,-5.1321,142.61
36.8497,-6.10193,171.136
34.9021,-5.74336,162.592
36.7911,-6.49903,185.728
43.3158,-5.71903,163.437
38.0019,-5.74578,165.773
34.5969,-4.95179,142.865
40.7109,-5.58976,161.271
43.4625,-7.50688,218.674
41.8797,-6.10387,177.805
44.5311,-5.89333,171.672
35.8036,-4.69038,136.63
43.4435,-7.45598,219.31
41.3567,-6.95817,204.667
35.9641,-5.88675,173.153
33.8542,-5.515,162.218
38.2965,-5.17805,152.307
46.0359,-6.62664,196.835
35.0037,-4.57218,135.81
42.5001,-5.48089,162.802
43.2783,-5.4975,163.296
38.1745,-5.82024,174.602
40.0758,-6.76733,205.054
44.0962,-6.37596,193.195
38.7944,-5.30877,160.859
40.3492,-5.38105,163.049
43.9546,-7.24941,221.89
34.3694,-5.28813,161.859
35.0609,-5.30349,162.33
42.5243,-5.30178,162.277
34.3358,-5.24572,162.207
39.6163,-5.52487,170.839
38.7944,-5.2021,160.859
32.6888,-5.23811,163.65
38.8645,-5.13689,160.488
42.2017,-5.19417,162.277
37.7792,-4.56677,144.169
42.8947,-5.15255,162.662
33.3315,-5.21314,166.316
35.1456,-5.07712,161.976
40.3436,-6.36948,205.379
38.3942,-5.79522,190.946
35.9965,-5.51016,183.559
42.3739,-4.83102,162.732
48.1753,-5.34939,182.229
40.9259,-6.12965,211.194
41.237,-5.49002,203.076
45.3081,-4.62744,171.169
43.3113,-5.6677,212.251
41.2252,-5.36256,203.349
33.005,-4.27929,162.271
33.2459,-4.37313,170.107
35.3544,-4.49058,174.676
44.4326,-5.81855,229.29
42.86,-5.49976,216.727
36.3152,-4.62122,182.107
46.3441,-5.959,237.933
39.2838,-3.74976,149.722
43.3955,-5.45955,220.916
38.6795,-4.70568,193.001
35.341,-3.95343,164.383
40.854,-3.86181,160.573
50.641,-5.89585,248.575
35.2929,-3.91171,164.922
44.165,-4.03319,170.044
37.4946,-4.08499,174.669
45.7159,-4.00903,171.422
44.7832,-5.16898,224.198
35.402,-4.05256,175.775
41.3782,-3.98855,172.999
40.4903,-3.68834,159.977
37.0417,-3.50462,154.227
35.6953,-3.79981,169.693
44.3821,-4.24925,189.764
44.6576,-3.98104,180.459
38.8401,-3.74653,172.42
38.2288,-3.53171,162.534
34.8386,-3.15189,145.054
44.8146,-3.89845,179.412
37.0907,-3.93408,183.857
46.0364,-4.14719,193.817
42.9037,-3.84354,179.625
45.1042,-3.59657,168.084
45.2478,-3.70676,178.774
44.877,-3.89832,191.068
36.5567,-3.00592,147.329
38.4197,-2.89611,141.947
37.2233,-3.70952,184.818
32.777,-3.24506,161.678
44.9696,-4.40894,219.665
40.9636,-3.99034,198.809
38.0963,-3.1318,156.034
35.146,-3.43334,173.931
35.2984,-3.34403,169.407
35.9532,-2.93668,153.943
33.8837,-3.07762,164.184
45.2413,-4.35091,236.292
33.3346,-2.97206,167.438
43.3862,-3.79249,213.66
37.4472,-2.92065,164.542
45.4136,-3.20513,184.006
33.3211,-2.46939,144.518
37.6408,-2.50822,152.718
42.7301,-3.54235,220.128
32.681,-2.60692,161.998
34.0492,-2.36964,147.253
35.8673,-2.48751,157.83
46.6294,-3.31458,229.631
35.227,-2.49592,172.915
34.4432,-2.12816,150.903
43.1667,-2.23183,162.064
42.0142,-3.16851,235.758
43.1755,-2.78252,212.275
46.9447,-2.70385,206.274
40.6665,-1.94094,148.072
34.9126,-1.943,152.077
33.4309,-2.05556,165.173
42.4149,-2.551,210.595
42.661,-2.42934,212.166
32.4642,-1.74448,161.721
44.9495,-1.66305,159.061
36.42,-1.90893,194.942
